StartTime: 2020-01-03 12:55:25.884
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:49:06.161	-0.1606	-0.0703	0.9922	-1.7090	-0.7935	-0.2441	-4.4165	8.7396	-147.4146	39.7007 
0x50	14:49:06.215	-0.1689	-0.0732	0.9844	1.7700	0.0000	-2.6245	-4.4000	8.7341	-147.3871	39.6919 
0x50	14:49:06.308	-0.1621	-0.0742	0.9961	0.5493	0.0000	0.3052	-4.3396	8.7561	-147.4750	39.6889 
0x50	14:49:06.378	-0.1719	-0.0781	0.9790	1.6479	1.0376	-3.0518	-4.3835	8.7781	-147.4805	39.6772 
0x50	14:49:06.413	-0.1714	-0.0630	0.9917	1.5869	0.3052	-3.0518	-4.2957	8.8220	-147.6013	39.6919 
0x50	14:49:06.454	-0.1577	-0.0801	1.0024	-0.6104	0.0000	0.0000	-4.3451	8.8220	-147.5684	39.6801 
0x50	14:49:06.502	-0.1797	-0.0620	1.0039	-0.9155	0.0000	0.9155	-4.4220	8.8385	-147.4695	39.6772 
0x50	14:49:06.551	-0.1606	-0.0728	0.9902	2.9907	0.7935	-4.6997	-4.2902	8.8660	-147.6343	39.6860 
0x50	14:49:06.600	-0.1665	-0.0757	0.9922	-0.3052	0.0000	1.1597	-4.3066	8.8715	-147.6233	39.6772 
0x50	14:49:06.650	-0.1631	-0.0664	1.0000	0.6104	0.7324	-0.7935	-4.2737	8.9154	-147.6727	39.6919 
0x50	14:49:06.697	-0.1592	-0.0776	1.0132	6.0425	1.7090	-7.7515	-4.1034	8.9484	-148.0078	39.6801 
0x50	14:49:06.730	-0.1489	-0.0571	0.9990	1.8311	1.7090	2.8076	-3.9771	9.0363	-147.8705	39.6889 
0x50	14:49:06.779	-0.1646	-0.0757	1.0005	-1.4038	-1.8311	8.4839	-3.9990	8.9648	-147.5189	39.6860 
0x50	14:49:06.829	-0.1641	-0.0913	1.0200	-0.5493	0.6104	8.7891	-3.9825	9.0253	-147.0740	39.6860 
0x50	14:49:06.877	-0.1797	-0.0625	0.9692	8.0566	1.8921	4.7607	-3.5706	9.1516	-146.8762	39.6860 
0x50	14:49:06.926	-0.1592	-0.0532	1.0146	2.1973	2.5635	2.0752	-3.4387	9.2780	-146.7773	39.6831 
0x50	14:49:06.975	-0.1724	-0.0767	0.9448	10.8032	5.3711	-12.3291	-3.1366	9.4647	-146.9641	39.6801 
0x50	14:49:07.024	-0.1606	-0.0405	1.0034	5.1270	2.1362	-11.5967	-2.9663	9.5306	-147.5574	39.6831 
0x50	14:49:07.073	-0.1909	-0.0166	0.9844	0.9766	5.4932	21.9116	-2.9608	9.7174	-146.5906	39.6801 
0x50	14:49:07.122	-0.1665	-0.0601	1.0610	2.9907	12.8784	12.7563	-2.7191	10.3711	-145.9753	39.6801 
0x50	14:49:07.172	-0.2373	0.0195	0.9922	16.5405	0.0000	49.1333	-1.7139	10.5139	-144.2395	39.6742 
0x50	14:49:07.220	-0.1958	-0.0518	0.9780	13.6719	1.3428	37.9028	-0.7196	10.6458	-142.3169	39.6801 
0x50	14:49:07.269	-0.1978	-0.0171	0.9160	7.6294	-1.0986	-2.8076	-0.5768	10.4535	-141.3171	39.6772 
0x50	14:49:07.318	-0.2026	-0.0103	0.9761	12.5122	7.7515	-2.2583	0.0110	10.8600	-141.4380	39.6742 
0x50	14:49:07.366	-0.2148	0.0659	1.0732	-4.0283	-12.2681	9.4604	0.1263	10.6183	-140.8557	39.6742 
0x50	14:49:07.415	-0.1797	-0.0073	1.0210	2.9297	-20.3247	2.6855	0.2802	9.6021	-140.7184	39.6742 
0x50	14:49:07.464	-0.1572	0.0142	0.9937	5.4321	-19.1040	37.7808	0.5658	8.8605	-138.9441	39.6684 
0x50	14:49:07.513	-0.1641	0.0234	1.0239	-15.0146	-42.1143	89.2944	0.4834	6.7456	-134.4507	39.6742 
0x50	14:49:07.570	-0.1123	-0.0327	1.0117	5.5542	-62.0117	22.8882	0.8569	4.0540	-133.4180	39.6654 
0x50	14:49:07.611	-0.1045	-0.0063	0.9688	-20.3857	-29.5410	54.8706	0.0000	2.6093	-130.6824	39.6625 
0x50	14:49:07.660	-0.0464	-0.0171	0.9937	-1.5259	-15.6250	10.8032	-0.1263	1.8512	-129.8804	39.6536 
0x50	14:49:07.708	-0.0591	-0.0005	1.0166	-1.7090	-29.6021	7.2632	-0.1978	0.4230	-129.5123	39.6713 
0x50	14:49:07.757	-0.0029	-0.0088	1.0972	-10.1318	-42.0532	-6.2866	-0.5603	-1.3458	-129.6826	39.6625 
0x50	14:49:07.806	0.0190	-0.0044	0.9546	-22.8271	-118.1641	-84.8999	-1.4722	-7.2235	-133.8464	39.6654 
0x50	14:49:07.904	0.1729	-0.0371	1.0269	9.4604	-119.2627	28.2593	-1.2195	-13.3484	-132.9236	39.6625 
0x50	14:49:07.968	0.2412	-0.0376	0.8779	-35.6445	-143.7378	47.1802	-3.6914	-20.3851	-130.2429	39.6625 
0x50	14:49:08.002	0.3716	-0.0757	0.8564	-11.9629	-98.6938	17.2119	-4.5044	-25.6641	-128.8477	39.6684 
0x50	14:49:08.050	0.4160	-0.0635	0.8979	1.7090	-57.2510	29.0527	-5.2295	-28.3392	-126.9745	39.6742 
0x50	14:49:08.099	0.4365	-0.0815	0.7275	11.9019	-62.6831	-40.3442	-4.8779	-31.2781	-128.1665	39.6625 
0x50	14:49:08.148	0.5020	-0.0649	0.8853	-4.2114	-63.1104	-10.1318	-4.9219	-34.3817	-128.4412	39.6625 
0x50	14:49:08.196	0.5698	-0.0869	0.7417	-3.7231	-78.3691	-24.5361	-5.2899	-38.2544	-128.9410	39.6654 
0x50	14:49:08.245	0.6021	-0.0723	0.7368	-13.1226	-68.2373	-18.6768	-5.4547	-41.7041	-129.7321	39.6536 
0x50	14:49:08.294	0.6455	-0.0601	0.6592	-29.4800	-56.6406	-2.6855	-6.7676	-44.6979	-129.6167	39.6654 
0x50	14:49:08.328	0.6816	-0.0679	0.6177	-4.8828	-64.8193	-33.3252	-5.7019	-48.1146	-131.4569	39.6625 
0x50	14:49:08.377	0.7036	-0.0562	0.5693	-16.9067	-61.2793	31.6772	-8.0530	-51.0919	-129.0894	39.6654 
0x50	14:49:08.425	0.7222	-0.0654	0.5137	25.6348	-68.6646	-21.8506	-5.9766	-54.6515	-130.1166	39.6684 
0x50	14:49:08.474	0.7954	-0.0381	0.5044	-12.7563	-63.9648	-5.7983	-5.3394	-58.0243	-130.6879	39.6654 
0x50	14:49:08.523	0.7827	-0.0435	0.4272	23.0103	-60.1196	-3.6011	-4.3561	-61.0510	-130.5176	39.6713 
