StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:54:21.089	-0.0537	0.1626	1.0063	3.4790	0.4272	8.4229	9.0912	3.3838	-15.4907	40.6360 
0x50	14:54:21.140	-0.0513	0.1631	1.0195	-1.6479	-0.1831	6.3477	9.0912	3.2904	-15.1447	40.6331 
0x50	14:54:21.189	-0.0464	0.1582	0.9995	0.6714	-1.2207	2.3804	9.0692	3.2465	-14.9908	40.6360 
0x50	14:54:21.239	-0.0278	0.1685	1.0117	0.9766	1.1597	-8.2397	9.1571	3.2739	-15.4248	40.6331 
0x50	14:54:21.289	-0.0527	0.1567	0.9971	7.0190	-4.3945	1.7090	9.2560	2.9608	-15.2161	40.6419 
0x50	14:54:21.339	-0.0488	0.1738	1.0386	5.4932	2.7466	-1.9531	9.5746	3.1256	-15.3918	40.6390 
0x50	14:54:21.399	-0.0586	0.1729	1.0127	2.8076	0.1831	-2.9907	9.6954	3.1641	-15.4907	40.6213 
0x50	14:54:21.439	-0.0518	0.1699	0.9922	-5.4321	0.5493	2.0142	9.3439	3.2629	-15.4138	40.6419 
0x50	14:54:21.488	-0.0557	0.1797	1.0039	7.8735	-7.2021	7.9346	9.6515	2.9773	-15.3204	40.6302 
0x50	14:54:21.539	-0.0557	0.1934	0.9951	-6.1646	0.5493	17.5781	9.4208	2.8619	-14.4525	40.6302 
0x50	14:54:21.588	-0.0469	0.1577	1.0327	-14.0991	5.6763	6.7139	8.9539	3.0157	-14.3701	40.6272 
0x50	14:54:21.638	-0.0547	0.1489	1.0215	-25.8789	19.6533	13.2446	7.7124	3.8782	-13.5681	40.6125 
0x50	14:54:21.687	-0.0542	0.1060	1.0249	-44.6167	-10.9253	-15.9912	5.6470	3.8727	-14.4745	40.6154 
0x50	14:54:21.737	-0.0850	0.0835	1.0781	-63.8428	-2.0752	-11.1694	2.4445	3.8287	-15.0458	40.6125 
0x50	14:54:21.793	-0.0742	0.0112	1.0044	-69.7021	16.7236	6.4697	-1.0437	4.6527	-14.7382	40.6243 
0x50	14:54:21.837	-0.0884	-0.0352	0.9868	-78.7964	7.8125	-17.8223	-5.0153	5.0153	-15.6500	40.6125 
0x50	14:54:21.887	-0.1494	-0.1724	0.9702	-101.0132	41.5649	-22.4609	-10.1459	6.6632	-16.3641	40.6213 
0x50	14:54:21.937	-0.1001	-0.1958	0.9150	-128.6621	23.6816	-23.9868	-16.6937	7.5531	-17.7869	40.6243 
0x50	14:54:21.987	-0.1328	-0.3457	0.9609	-134.3994	22.7661	-29.5410	-23.0658	8.4045	-19.5172	40.6066 
0x50	14:54:22.037	-0.1094	-0.3799	0.8716	-78.9185	-20.8130	-12.7563	-26.9824	7.1796	-19.6765	40.6125 
0x50	14:54:22.087	-0.0928	-0.4839	0.8306	-111.3892	-47.0581	-11.6577	-32.7393	4.8285	-19.1492	40.6066 
0x50	14:54:22.137	-0.0591	-0.5327	0.7549	-90.8203	-23.2544	9.6436	-37.1777	4.1199	-18.1000	40.6037 
0x50	14:54:22.188	-0.0581	-0.6563	0.7646	-117.3096	-31.9824	23.1934	-42.4292	3.5046	-16.2927	40.6096 
0x50	14:54:22.238	-0.0737	-0.6489	0.6436	-118.4082	-4.8828	39.3677	-48.2135	4.6967	-14.6997	40.6066 
0x50	14:54:22.287	-0.0874	-0.7476	0.5889	-102.0508	-11.8408	19.1040	-53.0969	5.1416	-13.5791	40.5949 
0x50	14:54:22.337	-0.1021	-0.7725	0.4854	-111.0229	-7.2021	44.7998	-58.5077	6.7511	-11.9806	40.5949 
0x50	14:54:22.387	-0.1367	-0.7759	0.4116	-88.1958	1.2817	3.5400	-62.9407	7.4817	-11.7499	40.5978 
0x50	14:54:22.437	-0.1240	-0.8447	0.3545	-89.3555	0.0000	-1.2817	-67.4286	7.4323	-11.7773	40.6037 
0x50	14:54:22.485	-0.1328	-0.9136	0.2988	-75.3174	0.7324	-0.3052	-71.0980	7.5916	-11.7279	40.6037 
0x50	14:54:22.537	-0.1294	-0.8960	0.2261	-52.5513	-14.9536	-22.3389	-73.7347	6.3281	-11.3654	40.5949 
0x50	14:54:22.586	-0.1069	-0.9126	0.1812	-65.2466	-7.4463	-28.6255	-77.1350	4.8724	-11.1676	40.6007 
0x50	14:54:22.635	-0.0635	-0.9282	0.1470	-64.2700	-6.5918	-10.6812	-80.3595	4.2682	-10.9589	40.5919 
0x50	14:54:22.685	-0.0864	-0.8672	0.0269	-111.8164	4.0283	3.2349	-85.6549	4.3726	-11.0083	40.6037 
0x50	14:54:22.735	-0.0874	-0.9551	0.0078	-83.6792	4.2114	-5.7373	-89.8682	4.1199	-11.2335	40.5978 
0x50	14:54:22.800	-0.0435	-0.8662	-0.0962	-33.5083	11.8408	-14.0381	-92.6917	3.5815	-11.9312	40.5949 
0x50	14:54:22.836	-0.0493	-0.9736	-0.1206	3.6011	-2.7466	-8.7891	-92.5928	3.1421	-11.7773	40.6007 
0x50	14:54:22.885	-0.0708	-0.8682	-0.1406	-29.8462	5.9204	8.6060	-94.6033	3.8342	-12.0465	40.5949 
0x50	14:54:22.935	-0.0781	-0.9033	-0.1362	-11.1694	5.9204	-4.6997	-95.2460	3.6035	-12.3267	40.5949 
0x50	14:54:22.985	-0.0493	-0.9229	-0.1631	-4.1504	8.6060	2.0752	-95.8942	3.7408	-12.8485	40.5949 
0x50	14:54:23.035	-0.0708	-0.9077	-0.1519	3.6011	-0.1831	-7.6294	-95.7843	3.3838	-12.7991	40.6007 
