StartTime: 2019-12-31 14:44:09.151
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	14:55:09.634	-0.0977	-0.9077	-0.0249	3.1128	0.0000	0.0000	-91.4886	5.2460	-8.8660	40.0625 
0x50	14:55:09.684	-0.0942	-0.9214	-0.0298	-0.4883	-2.0752	-5.2490	-91.5051	4.9988	-8.7671	40.0625 
0x50	14:55:09.734	-0.0903	-0.9048	-0.0259	0.6104	1.0376	1.3428	-91.4832	5.0757	-8.8220	40.0713 
0x50	14:55:09.784	-0.0942	-0.9180	-0.0259	0.7935	0.1831	0.0000	-91.4502	5.0702	-8.8385	40.0625 
0x50	14:55:09.834	-0.0972	-0.9165	-0.0264	3.2959	2.0142	8.6060	-91.3019	5.5096	-8.9539	40.0684 
0x50	14:55:09.884	-0.0981	-0.9146	-0.0225	-4.0283	4.6387	1.8921	-91.5106	5.6799	-9.2175	40.0595 
0x50	14:55:09.935	-0.0942	-0.8960	-0.0337	0.6104	-0.9155	1.7090	-91.4886	5.7733	-9.1736	40.0654 
0x50	14:55:09.985	-0.1030	-0.9146	-0.0317	-1.7090	2.1973	-6.0425	-91.5491	5.5591	-9.2120	40.0713 
0x50	14:55:10.034	-0.0928	-0.9141	-0.0303	0.4272	6.8359	0.2441	-91.5656	5.5646	-9.5526	40.0654 
0x50	14:55:10.084	-0.1001	-0.9526	-0.0298	1.7700	3.1738	-2.2583	-91.4612	5.4767	-9.7833	40.0625 
0x50	14:55:10.149	-0.0913	-0.9141	-0.0151	0.1831	-9.1553	-8.1787	-91.4008	5.0867	-9.3109	40.0684 
0x50	14:55:10.184	-0.1040	-0.8560	-0.0244	5.6152	-7.7515	-1.7700	-91.2085	4.9438	-8.9264	40.0625 
0x50	14:55:10.236	-0.1011	-0.8882	-0.0234	11.1084	4.1504	21.7285	-90.6866	6.0370	-9.1516	40.0713 
0x50	14:55:10.284	-0.1108	-0.9829	0.0146	11.9019	-7.2021	27.7710	-90.0330	7.2839	-9.0747	40.0537 
0x50	14:55:10.333	-0.1416	-0.9043	0.0117	7.9346	-19.9585	19.6533	-89.5001	8.2782	-8.0640	40.0625 
0x50	14:55:10.383	-0.1240	-0.9077	0.0107	0.6104	-34.1797	-19.7754	-89.0771	7.5861	-6.5753	40.0507 
0x50	14:55:10.433	-0.1177	-0.9072	0.0029	-10.3149	-44.0063	-14.8926	-89.3188	6.8170	-4.3671	40.0537 
0x50	14:55:10.483	-0.1460	-0.9585	-0.0078	3.6621	-62.6831	5.9204	-88.9783	7.2125	-1.2250	40.0654 
0x50	14:55:10.539	-0.1348	-0.9292	0.0244	-3.2959	-57.3120	-7.6904	-88.7750	6.8005	1.6479	40.0595 
0x50	14:55:10.583	-0.0977	-0.8931	0.0229	-9.0942	-73.4253	-11.2915	-88.6432	6.2457	5.0372	40.0625 
0x50	14:55:10.633	-0.1128	-0.9355	-0.0020	0.3052	-116.4551	-27.7100	-88.0719	4.7406	10.8545	40.0595 
0x50	14:55:10.683	-0.0991	-0.9185	0.0225	6.7139	-112.4268	-28.1372	-87.2095	3.1091	16.7651	40.0507 
0x50	14:55:10.733	-0.0713	-0.9438	-0.0078	-5.0049	-82.8857	15.1978	-87.2864	3.6859	20.9454	40.0625 
0x50	14:55:10.783	-0.0850	-0.8779	-0.0103	5.0659	-106.2622	2.8076	-87.2534	4.0540	25.9058	40.0625 
0x50	14:55:10.832	-0.0972	-0.8569	-0.0195	-1.7700	-108.8257	-9.5825	-87.0557	3.3673	31.3275	40.0537 
0x50	14:55:10.883	-0.0796	-0.9170	-0.0161	-26.8555	-111.5112	5.1880	-88.0115	2.8839	36.8646	40.0595 
0x50	14:55:10.932	-0.0815	-0.9351	-0.0269	0.0000	-105.0415	-10.4980	-87.8412	2.2247	42.0996	40.0566 
0x50	14:55:10.982	-0.0249	-0.9404	-0.0215	-21.4233	-127.1973	-35.6445	-88.7750	0.1923	48.2025	40.0625 
0x50	14:55:11.031	-0.0557	-0.8882	-0.0923	-28.2593	-146.2402	-12.1460	-90.3076	-0.4395	55.5029	40.0566 
0x50	14:55:11.081	-0.0488	-0.8906	-0.0669	1.0986	-96.9238	30.5786	-90.4010	0.6592	61.0565	40.0507 
0x50	14:55:11.131	-0.0864	-0.9214	-0.0898	10.5591	-77.0264	8.5449	-89.9286	1.1920	64.9072	40.0566 
0x50	14:55:11.181	-0.1016	-0.8804	-0.0737	13.3057	-51.6968	22.8882	-89.2859	2.4939	68.1207	40.0507 
0x50	14:55:11.231	-0.1187	-0.9019	-0.0693	5.9814	-77.3315	-21.4233	-88.9398	2.1753	71.3507	40.0507 
0x50	14:55:11.281	-0.0884	-0.9043	-0.0391	16.2354	-78.0029	4.9438	-87.9730	1.7249	75.8771	40.0566 
0x50	14:55:11.331	-0.1079	-0.9565	-0.0415	23.4985	-56.7627	33.4473	-86.7700	3.1531	78.9642	40.0537 
0x50	14:55:11.380	-0.1646	-0.9194	-0.0166	15.5640	-25.3296	27.4658	-85.7043	4.7406	80.7001	40.0507 
