StartTime: 2020-01-03 15:57:22.479
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°) 
0x50	16:30:13.550	-0.6509	0.0161	1.1997	1.5259	-0.4272	-0.7324	0.9338	28.5260	31.5033	37.2624 
0x50	16:30:13.599	-0.6396	0.0049	1.1963	0.4272	-0.5493	0.0000	0.9393	28.4875	31.5033	37.2624 
0x50	16:30:13.648	-0.6445	0.0200	1.2056	0.0000	0.2441	0.4272	0.9119	28.4930	31.5033	37.2624 
0x50	16:30:13.697	-0.6460	0.0103	1.1919	0.6714	0.0000	0.1831	0.9448	28.4930	31.5143	37.2712 
0x50	16:30:13.747	-0.6533	0.0239	1.2046	1.3428	0.0000	-0.6104	0.9448	28.5095	31.4978	37.2565 
0x50	16:30:13.794	-0.6274	0.0000	1.2080	0.9766	-0.6104	0.3662	0.9888	28.4601	31.5143	37.2506 
0x50	16:30:13.846	-0.6504	0.0239	1.2017	-1.6479	1.4648	2.5024	0.9668	28.5260	31.5967	37.2565 
0x50	16:30:13.893	-0.6250	-0.0059	1.2090	3.7231	-0.6714	-1.1597	1.0931	28.4711	31.5308	37.2477 
0x50	16:30:13.941	-0.6382	0.0190	1.2031	0.0000	1.7700	2.9297	1.1700	28.5809	31.6571	37.2506 
0x50	16:30:13.990	-0.6416	0.0122	1.1919	1.8921	1.4648	0.5493	1.2689	28.6469	31.6901	37.2477 
0x50	16:30:14.039	-0.6289	0.0137	1.2080	1.0986	1.2817	1.7090	1.3458	28.7073	31.8054	37.2536 
0x50	16:30:14.088	-0.6582	0.0161	1.1836	3.7842	0.9766	0.3662	1.5271	28.7622	31.8274	37.2624 
0x50	16:30:14.137	-0.6348	0.0156	1.2021	3.1128	1.2817	0.3662	1.6370	28.8116	31.8933	37.2271 
0x50	16:30:14.235	-0.6606	0.0313	1.1953	0.9766	2.5024	0.7324	1.7029	28.9380	31.9427	37.2506 
0x50	16:30:14.283	-0.6616	0.0259	1.2051	-2.1973	4.4556	3.5400	1.7029	29.1138	32.1021	37.2536 
0x50	16:30:14.332	-0.6489	0.0132	1.1899	6.2256	1.4648	0.9766	2.0160	29.1742	32.1570	37.2506 
0x50	16:30:14.381	-0.6816	0.0371	1.2007	1.5869	1.3428	1.3428	2.0599	29.2511	32.2009	37.2506 
0x50	16:30:14.478	-0.6206	0.0156	1.1987	2.1362	1.4038	0.7324	2.1698	29.2786	32.3602	37.2388 
0x50	16:30:14.480	-0.6821	0.0303	1.1997	1.5869	3.6621	1.8921	2.2797	29.4434	32.4481	37.2388 
0x50	16:30:14.527	-0.6230	0.0161	1.2158	-4.8218	4.8218	2.5635	2.1588	29.6686	32.6294	37.2388 
